,Dataset_names,Mode 1: 1 point at largest object region,Mode 1 (oracle): 1 point at largest object region,Mode 2: 1 point at each object region,Mode 2 (oracle): 1 point at each object region,Mode 3: 1 box at largest object region,Mode 3 (oracle): 1 box at largest object region,Mode 4: 1 box at each object region,Mode 4 (oracle): 1 box at each object region,Mode 5: 1 box cover all objects,Mode 5 (oracle): 1 box cover all objects
0,CT-Organ: Lung,0.5040375609102761,0.7649961536318798,0.8399531292817298,0.8544587010504898,0.5619888040977155,0.5751254678667818,0.9118037681853222,0.9287611757965885,0.8442930189948117,0.9014606792388544
1,MRI-Spine: SP,0.7073228746669389,0.7096432977416823,0.7070476025992274,0.7095302007531917,0.9043487094339112,0.9119653011188062,0.9043487094339112,0.9119653011188062,0.9043487094339112,0.9119653011188062
2,CT-Spleen,0.8691847407254183,0.8772478846904421,0.8689422709715835,0.8768474552752175,0.8888784234966336,0.8960502031503226,0.8903440667420405,0.8977486661086032,0.888157727658361,0.896161751204274
3,Xray-Chest,0.488912549431233,0.7042973771124544,0.8255508338566884,0.8304664474345188,0.4845595757679478,0.5063367845139323,0.8808300821393182,0.9088518824912722,0.8380273852364888,0.8731804644274592
4,Xray-Hip: Ilium,0.8649546268769193,0.8775119614476239,0.8649960616662165,0.8776958070689208,0.8671305346236142,0.9498623353564899,0.8671305346236142,0.9498623353564899,0.8671305346236142,0.9498623353564899
5,CT-Liver,0.7168836341782948,0.7247227437045324,0.6897820158324605,0.6957833671590816,0.8339470767285759,0.8497763577430864,0.8454871317234407,0.8613084541832972,0.8244972081253991,0.841507070072933
6,CT-Organ: Kidney,0.48812141016765004,0.5137771486899364,0.5293984833999216,0.5306062550294209,0.528200113701847,0.53434510978159,0.8309711867869959,0.8391476064107741,0.45035835954319947,0.5159415625931333
7,CT-Organ: Bladder,0.5916728074734098,0.5916739116938898,0.5726033235071356,0.5726221823458707,0.7796024605322711,0.8196618408524342,0.7868766417826404,0.8290201142372928,0.7608618606538163,0.7958953774032693
8,Xray-Hip: Femur,0.6737930817054792,0.6845047915027754,0.6740167144857426,0.6847395375238928,0.7867385105826606,0.8058534761556695,0.7867375836188909,0.8058525491918997,0.7867528936815141,0.805867859254523
9,MRI-Heart,0.573143704527502,0.583662130445331,0.5775095522204375,0.5881684497095361,0.734538458869586,0.7669220221895826,0.7856222042741158,0.8176279421491547,0.6293998738464587,0.7048879357807536
10,CT-Organ: Liver,0.6572655994639135,0.657509567934053,0.6356032466211343,0.6358335035559992,0.7789995383252979,0.8760939976763359,0.7854910304887937,0.8823629020543077,0.7778099650265168,0.8718598005716134
11,US-Kidney,0.5531198274177759,0.6843526106476006,0.5569639972326419,0.6782384069681024,0.7717521567805573,0.8660795122175549,0.7722598559812998,0.8665291114759625,0.771622575672267,0.8660049668283785
12,CT-Colon,0.5241501535721865,0.5307969474576953,0.5250511629078818,0.5313687214826,0.6987196146385244,0.7210953366255343,0.7180784774651142,0.7408698698258476,0.6941207593677051,0.7208699936931542
13,CT-Organ: Bone,0.3870924726703019,0.537948309577858,0.5617453967171664,0.6075720277255027,0.5041121728098235,0.5591699598152509,0.7179510572142475,0.7861382489199804,0.4318603175075531,0.555966121641184
14,CT-Pancreas,0.5010115151433743,0.532924268069487,0.4980692434242409,0.5275509005159461,0.6761699849486295,0.7309784379842976,0.6952301940549994,0.7507288043045295,0.656463026747013,0.7209926850758989
15,MRI-Prostate,0.4716223475002687,0.5064347886055016,0.47104135778245915,0.5058923133864082,0.6843254450929145,0.7592649707750968,0.6848254784853673,0.7597124063727306,0.6834499338952817,0.7585286565598245
16,US-Breast,0.4712195546907309,0.6188008177558781,0.4735816855561947,0.6155673166376364,0.6410504608959803,0.7790617068901438,0.6410492376798388,0.7790555125298435,0.641132505088589,0.7790603773140136
17,MRI-Breast: Breast,0.34783472864351483,0.49746769921502504,0.35509528978447896,0.5012692482207185,0.5899735090916093,0.8347561389801192,0.6060022011834233,0.8527033667723514,0.5937453747396176,0.8437996657670627
18,PET-Wholebody,0.3426932634019096,0.3520103866842598,0.326432439783384,0.3328435709649819,0.5173322095044326,0.6173761929957494,0.562570259343904,0.6693695039761657,0.4643212895824232,0.5706536068818072
19,CT-Hepaticvessel,0.24518548187187356,0.24979626329976973,0.15671143905373192,0.1588021329729012,0.41687928725650014,0.46549963889514995,0.5419016843275795,0.5905769848091643,0.22333774646603485,0.25288755765451426
20,MRI-Brain: GD,0.3644789966578506,0.3729348517929812,0.3510795231936171,0.35839340193525926,0.4884324398981961,0.5417414636069973,0.5092892536422939,0.5646283585515393,0.47862140678629467,0.5270173818782171
21,MRI-Breast: FGT,0.2891343803228075,0.2985958075634497,0.22236704406413602,0.22236704406413602,0.34043336460000645,0.3467864983150635,0.49118344693603677,0.4944861199774202,0.2275343719139432,0.2550043716169522
22,US-Variantumor,0.3398076921862697,0.4573707014742938,0.34383180057461576,0.459333444052403,0.4633740285070635,0.7190842974900171,0.46523688156504733,0.7211977909933263,0.4639737355438073,0.7202034744723546
23,MRI-Brain: Core,0.2586909570158529,0.26170807541206154,0.23217271635685718,0.23415282948636373,0.416183998958719,0.45198666074925037,0.45756469370085256,0.5012820015283274,0.3333978894984103,0.35959147741753417
24,MRI-Brain: Edema,0.26076432589689647,0.26263997215298457,0.23422116339198454,0.23653493691978156,0.41239031745961985,0.46911298689380737,0.4501623828483823,0.5098458542001842,0.3605293097304758,0.41228754855160304
25,MRI-Spine: GM,0.11364871552061874,0.11364871552061874,0.11363235284637922,0.11363235284637922,0.2783918412038833,0.2877485790893153,0.2814359955162776,0.2910305845120911,0.2782344908831689,0.2874760097423331
26,US-Nerve,0.12620618960020696,0.14699303717568177,0.12688055807197968,0.1475196349207403,0.23287614303247803,0.543738210855488,0.23287614303247803,0.543738210855488,0.23287614303247803,0.543738210855488
27,US-Muscle,0.17728576808683244,0.3060046121522509,0.17914924775826055,0.30700876202985417,0.213416606828824,0.7724017740374894,0.2134182856841066,0.7724058881872616,0.21340544435737385,0.772385439486003
